Case #1: 
Case #2: 999337777
Case #3: 66666
Case #4: 333666666222777
Case #5: 443355555566696667775553
Case #6: 443377
Case #7: 55559994466699977733
Case #8: 8899993332226622
Case #9: 222299
Case #10: 7772243388882229
Case #11: 4422255566822775558888
Case #12: 9322288477772888999222
Case #13: 85559
Case #14: 768777554444442999
Case #15: 222
Case #16: 99339999922243662233337733
Case #17: 992235577773388994775555599
Case #18: 22253332233377779
Case #19: 44777799933377779933444
Case #20: 55334466888888889993333333
Case #21: 444333669999777788833444
Case #22: 2224888883669995667
Case #23: 555557777755
Case #24: 5544426667744333444777688
Case #25: 99963339799993229
Case #26: 539999
Case #27: 22666777223377779
Case #28: 22255577774777777777
Case #29: 788844433555667777
Case #30: 666976655999552266688877777
Case #31: 4477559339996669999777444
Case #32: 4445499922
Case #33: 66773666299997777874559997777333
Case #34: 6777777779999977733666222
Case #35: 6633339958334
Case #36: 8833328884449555
Case #37: 9994477772225277775663355
Case #38: 72222674473355552
Case #39: 66675577738855
Case #40: 5554444455544
Case #41: 2229922366556222442229998
Case #42: 77778855588999
Case #43: 6663374886222222
Case #44: 9423889999355588332225888
Case #45: 77739999666
Case #46: 559999777
Case #47: 388
Case #48: 3336654477999669999222
Case #49: 33555
Case #50: 555533888844
Case #51: 49999666
Case #52: 337
Case #53: 555777333978887779777796622777666
Case #54: 88333
Case #55: 944452695
Case #56: 668887744433733
Case #57: 7778
Case #58: 222292993344
Case #59: 222776438844222555337777
Case #60: 889977799933388833
Case #61: 8866666577799
Case #62: 4433357777555666659
Case #63: 999922222888999922
Case #64: 777777522226699888
Case #65: 332228887777559922255998
Case #66: 9999999963777766888888757777
Case #67: 776954443
Case #68: 66688899995444444999944422669999
Case #69: 9999999999777888777299322242
Case #70: 8887777778833322777228
Case #71: 7999333999999999999
Case #72: 77755588555822222555857
Case #73: 3336779999888888899
Case #74: 9558887225776688
Case #75: 7899994455559966699977757777
Case #76: 3344499
Case #77: 66655544444
Case #78: 33225554499442664
Case #79: 49555222
Case #80: 2299997744777733322555
Case #81: 33222666266777
Case #82: 888885577855588883355333
Case #83: 5566222
Case #84: 2227775566445999997555999944
Case #85: 7777887766687733336622
Case #86: 8882226
Case #87: 444366677777777222555
Case #88: 99993299929993344454777755
Case #89: 544662277755
Case #90: 33666222999666558777747778888
Case #91: 9755
Case #92: 2566995522997766658777
Case #93: 67777266
Case #94: 996655996664
Case #95: 442666999966222266644
Case #96: 559
Case #97: 9997777
Case #98: 52228888864445992266
Case #99: 7776222333226665888
Case #100: 44422884447722229333888446
